timestamp,pos_x,pos_y,pos_z,orient_x,orient_y,orient_z,orient_w,linear_x,linear_y,linear_z,angular_x,angular_y,angular_z
9.252,-4.25E-06,3.88E-22,-19.81874438,-5.99E-19,2.42E-05,-7.70E-21,1,-7.30E-07,-2.50E-21,0.028915025,-4.88E-18,8.40E-06,-3.14E-21
9.302,-4.29E-06,2.44E-22,-19.81729768,-5.94E-19,2.42E-05,-7.77E-21,1,-7.34E-07,-3.07E-21,0.028951456,5.04E-18,-5.89E-06,-2.23E-21
9.352,-4.32E-06,1.00E-22,-19.81584917,-3.56E-19,2.39E-05,-7.81E-21,1,-7.28E-07,-2.42E-21,0.028987382,1.30E-17,-1.75E-05,-1.79E-21
9.402,-4.36E-06,1.52E-23,-19.81439887,2.98E-20,2.34E-05,-7.84E-21,1,-7.14E-07,-8.31E-22,0.029022809,1.62E-17,-2.22E-05,-1.43E-21
9.452,-4.39E-06,2.40E-23,-19.81294682,4.06E-19,2.29E-05,-7.87E-21,1,-6.98E-07,1.10E-21,0.029057744,1.33E-17,-1.84E-05,-1.67E-21
9.502,-4.43E-06,1.26E-22,-19.81149304,6.31E-19,2.25E-05,-7.91E-21,1,-6.87E-07,2.75E-21,0.029092193,4.49E-18,-7.90E-06,-2.30E-21
9.552,-4.46E-06,2.82E-22,-19.81003754,6.18E-19,2.25E-05,-7.98E-21,1,-6.86E-07,3.30E-21,0.029126164,-5.24E-18,5.19E-06,-2.90E-21
9.602,-4.50E-06,4.34E-22,-19.80858036,3.77E-19,2.28E-05,-8.06E-21,1,-6.94E-07,2.64E-21,0.029159662,-1.32E-17,1.59E-05,-3.33E-21
9.652,-4.53E-06,5.27E-22,-19.80712152,-5.38E-21,2.33E-05,-8.16E-21,1,-7.09E-07,9.89E-22,0.029192694,-1.62E-17,2.03E-05,-3.48E-21
9.702,-4.57E-06,5.27E-22,-19.80566104,-3.83E-19,2.37E-05,-8.25E-21,1,-7.26E-07,-9.61E-22,0.029225266,-1.31E-17,1.70E-05,-3.35E-21
9.752,-4.61E-06,4.33E-22,-19.80419894,-6.20E-19,2.40E-05,-8.34E-21,1,-7.39E-07,-2.61E-21,0.029257385,-5.31E-18,7.42E-06,-2.88E-21
9.802,-4.64E-06,2.82E-22,-19.80273524,-6.26E-19,2.41E-05,-8.40E-21,1,-7.43E-07,-3.26E-21,0.029289056,4.67E-18,-4.57E-06,-2.05E-21
9.852,-4.68E-06,1.29E-22,-19.80126997,-3.81E-19,2.38E-05,-8.44E-21,1,-7.38E-07,-2.69E-21,0.029320286,1.40E-17,-1.45E-05,-1.80E-21
9.902,-4.72E-06,3.68E-23,-19.79980316,2.20E-20,2.34E-05,-8.47E-21,1,-7.26E-07,-9.00E-22,0.029351081,1.70E-17,-1.86E-05,-1.59E-21
9.952,-4.75E-06,4.47E-23,-19.79833481,4.14E-19,2.30E-05,-8.50E-21,1,-7.13E-07,1.12E-21,0.029381447,1.38E-17,-1.57E-05,-1.80E-21
